Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
New appetizer plate;GIALLO FIORE;GF;110;GF110;Giallo_Fiore.png;110.jpg;EUR 44,72;COP 563.472;12600
;BIANCO FIORE;BF;110;BF110;Bianco_Fiore.png;110.jpg;EUR 44,72;COP 563.472;
;MAZZETTO;MZ;110;MZ110;Mazzetto.png;110.jpg;EUR 53,38;COP 672.538;
;GAROFANO BLU;GB;110;GB110;Garofano_Blu.png;110.jpg;EUR 64,20;COP 808.920;
;GAROFANO IMOLA;GI;110;GI110;Garofano_Imola.png;110.jpg;EUR 71,41;COP 899.741;
;GAROFANO TIFFANY;GT;110;GT110;Garofano_Tiffany.png;110.jpg;EUR 71,41;COP 899.741;
;GAROFANO ROSA;GP;110;GP110;Garofano_Rosa.png;110.jpg;EUR 71,41;COP 899.741;
;GAROFANO LAVI;GL;110;GL110;Garofano_Lavi.png;110.jpg;EUR 71,41;COP 899.741;
;ROSSO E ORO;GRG;110;GRG110;Rosso_E_Oro.png;110.jpg;EUR 78,55;COP 989.715;
;AVORIO E ORO;GIG;110;GIG110;Avorio_E_Oro.png;110.jpg;EUR 78,55;COP 989.715;
Small jam jar;GIALLO FIORE;GF;001;GF001;Giallo_Fiore.png;001.jpg;EUR 31,74;COP 399.874;
;BIANCO FIORE;BF;001;BF001;Bianco_Fiore.png;001.jpg;EUR 31,74;COP 399.874;
;MAZZETTO;MZ;001;MZ001;Mazzetto.png;001.jpg;EUR 34,62;COP 436.262;
;GAROFANO BLU;GB;001;GB001;Garofano_Blu.png;001.jpg;EUR 37,51;COP 472.651;
;GAROFANO IMOLA;GI;001;GI001;Garofano_Imola.png;001.jpg;EUR 41,84;COP 527.184;
;GAROFANO TIFFANY;GT;001;GT001;Garofano_Tiffany.png;001.jpg;EUR 41,84;COP 527.184;
;GAROFANO ROSA;GP;001;GP001;Garofano_Rosa.png;001.jpg;EUR 41,84;COP 527.184;
;GAROFANO LAVI;GL;001;GL001;Garofano_Lavi.png;001.jpg;EUR 41,84;COP 527.184;
;ROSSO E ORO;GRG;001;GRG001;Rosso_E_Oro.png;001.jpg;EUR 46,02;COP 579.902;
;AVORIO E ORO;GIG;001;GIG001;Avorio_E_Oro.png;001.jpg;EUR 46,02;COP 579.902;
Large jam jar;GIALLO FIORE;GF;002;GF002;Giallo_Fiore.png;002.jpg;EUR 36,78;COP 463.478;
;BIANCO FIORE;BF;002;BF002;Bianco_Fiore.png;002.jpg;EUR 36,78;COP 463.478;
;MAZZETTO;MZ;002;MZ002;Mazzetto.png;002.jpg;EUR 38,95;COP 490.795;
;GAROFANO BLU;GB;002;GB002;Garofano_Blu.png;002.jpg;EUR 42,56;COP 536.256;
;GAROFANO IMOLA;GI;002;GI002;Garofano_Imola.png;002.jpg;EUR 49,05;COP 618.005;
;GAROFANO TIFFANY;GT;002;GT002;Garofano_Tiffany.png;002.jpg;EUR 49,05;COP 618.005;
;GAROFANO ROSA;GP;002;GP002;Garofano_Rosa.png;002.jpg;EUR 49,05;COP 618.005;
;GAROFANO LAVI;GL;002;GL002;Garofano_Lavi.png;002.jpg;EUR 49,05;COP 618.005;
;ROSSO E ORO;GRG;002;GRG002;Rosso_E_Oro.png;002.jpg;EUR 53,95;COP 679.805;
;AVORIO E ORO;GIG;002;GIG002;Avorio_E_Oro.png;002.jpg;EUR 53,95;COP 679.805;
Small serving boat;GIALLO FIORE;GF;003;GF003;Giallo_Fiore.png;003.jpg;EUR 64,20;COP 808.920;
;BIANCO FIORE;BF;003;BF003;Bianco_Fiore.png;003.jpg;EUR 64,20;COP 808.920;
;MAZZETTO;MZ;003;MZ003;Mazzetto.png;003.jpg;EUR 67,08;COP 845.208;
;GAROFANO BLU;GB;003;GB003;Garofano_Blu.png;003.jpg;EUR 69,97;COP 881.597;
;GAROFANO IMOLA;GI;003;GI003;Garofano_Imola.png;003.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO TIFFANY;GT;003;GT003;Garofano_Tiffany.png;003.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO ROSA;GP;003;GP003;Garofano_Rosa.png;003.jpg;EUR 81,51;COP 1.027.051;
;GAROFANO LAVI;GL;003;GL003;Garofano_Lavi.png;003.jpg;EUR 81,51;COP 1.027.051;
;ROSSO E ORO;GRG;003;GRG003;Rosso_E_Oro.png;003.jpg;EUR 89,66;COP 1.129.756;
;AVORIO E ORO;GIG;003;GIG003;Avorio_E_Oro.png;003.jpg;EUR 89,66;COP 1.129.756;
Large serving boat;GIALLO FIORE;GF;004;GF004;Giallo_Fiore.png;004.jpg;EUR 75,02;COP 945.202;
;BIANCO FIORE;BF;004;BF004;Bianco_Fiore.png;004.jpg;EUR 75,02;COP 945.202;
;MAZZETTO;MZ;004;MZ004;Mazzetto.png;004.jpg;EUR 78,62;COP 990.662;
;GAROFANO BLU;GB;004;GB004;Garofano_Blu.png;004.jpg;EUR 79,34;COP 999.734;
;GAROFANO IMOLA;GI;004;GI004;Garofano_Imola.png;004.jpg;EUR 98,10;COP 1.236.010;
;GAROFANO TIFFANY;GT;004;GT004;Garofano_Tiffany.png;004.jpg;EUR 98,10;COP 1.236.010;
;GAROFANO ROSA;GP;004;GP004;Garofano_Rosa.png;004.jpg;EUR 98,10;COP 1.236.010;
;GAROFANO LAVI;GL;004;GL004;Garofano_Lavi.png;004.jpg;EUR 98,10;COP 1.236.010;
;ROSSO E ORO;GRG;004;GRG004;Rosso_E_Oro.png;004.jpg;EUR 107,91;COP 1.359.611;
;AVORIO E ORO;GIG;004;GIG004;Avorio_E_Oro.png;004.jpg;EUR 107,91;COP 1.359.611;
Wine mug;GIALLO FIORE;GF;005;GF005;Giallo_Fiore.png;005.jpg;EUR 23,08;COP 290.808;
;BIANCO FIORE;BF;005;BF005;Bianco_Fiore.png;005.jpg;EUR 23,08;COP 290.808;
;MAZZETTO;MZ;005;MZ005;Mazzetto.png;005.jpg;EUR 25,97;COP 327.197;
;GAROFANO BLU;GB;005;GB005;Garofano_Blu.png;005.jpg;EUR 29,58;COP 372.658;
;GAROFANO IMOLA;GI;005;GI005;Garofano_Imola.png;005.jpg;EUR 34,62;COP 436.262;
;GAROFANO TIFFANY;GT;005;GT005;Garofano_Tiffany.png;005.jpg;EUR 34,62;COP 436.262;
;GAROFANO ROSA;GP;005;GP005;Garofano_Rosa.png;005.jpg;EUR 34,62;COP 436.262;
;GAROFANO LAVI;GL;005;GL005;Garofano_Lavi.png;005.jpg;EUR 34,62;COP 436.262;
;ROSSO E ORO;GRG;005;GRG005;Rosso_E_Oro.png;005.jpg;EUR 38,09;COP 479.889;
;AVORIO E ORO;GIG;005;GIG005;Avorio_E_Oro.png;005.jpg;EUR 38,09;COP 479.889;
Biscuit bowl;GIALLO FIORE;GF;006;GF006;Giallo_Fiore.png;006.jpg;EUR 69,97;COP 881.597;
;BIANCO FIORE;BF;006;BF006;Bianco_Fiore.png;006.jpg;EUR 69,97;COP 881.597;
;MAZZETTO;MZ;006;MZ006;Mazzetto.png;006.jpg;EUR 74,30;COP 936.130;
;GAROFANO BLU;GB;006;GB006;Garofano_Blu.png;006.jpg;EUR 77,18;COP 972.518;
;GAROFANO IMOLA;GI;006;GI006;Garofano_Imola.png;006.jpg;EUR 83,67;COP 1.054.267;
;GAROFANO TIFFANY;GT;006;GT006;Garofano_Tiffany.png;006.jpg;EUR 83,67;COP 1.054.267;
;GAROFANO ROSA;GP;006;GP006;Garofano_Rosa.png;006.jpg;EUR 83,67;COP 1.054.267;
